year,month,branchNumber,underwritingYear,lossYear,claimsPaidGross,claimsPaidRi
2025,1,100,2025,2025,7344,3088
2025,1,100,2025,2026,3148,1324
2025,2,100,2025,2025,6760,2843
2025,2,100,2025,2026,2897,1218
2025,3,100,2025,2025,6259,2632
2025,3,100,2025,2026,2683,1128
2025,4,100,2025,2025,5380,2262
2025,4,100,2025,2026,2306,970
2025,5,100,2025,2025,4936,2076
2025,5,100,2025,2026,2115,889
2025,6,100,2025,2025,5700,2397
2025,6,100,2025,2026,2443,1027
2025,7,100,2025,2025,5311,2233
2025,7,100,2025,2026,2276,957
2025,8,100,2025,2025,5164,2171
2025,8,100,2025,2026,2213,931
2025,9,100,2025,2025,5168,2173
2025,9,100,2025,2026,2215,931
2025,10,100,2025,2025,6408,2695
2025,10,100,2025,2026,2746,1155
2025,11,100,2025,2025,6416,2698
2025,11,100,2025,2026,2750,1156
2025,12,100,2025,2025,6393,2688
2025,12,100,2025,2026,2740,1152
2025,1,150,2025,2025,8768,6229
2025,1,150,2025,2026,3758,2670
2025,2,150,2025,2025,8038,5710
2025,2,150,2025,2026,3445,2447
2025,3,150,2025,2025,7408,5263
2025,3,150,2025,2026,3175,2256
2025,4,150,2025,2025,7896,5609
2025,4,150,2025,2026,3384,2404
2025,5,150,2025,2025,7291,5180
2025,5,150,2025,2026,3125,2220
2025,6,150,2025,2025,6785,4820
2025,6,150,2025,2026,2908,2066
2025,7,150,2025,2025,6294,4471
2025,7,150,2025,2026,2697,1916
2025,8,150,2025,2025,7568,5376
2025,8,150,2025,2026,3243,2304
2025,9,150,2025,2025,7621,5414
2025,9,150,2025,2026,3266,2320
2025,10,150,2025,2025,7635,5424
2025,10,150,2025,2026,3272,2324
2025,11,150,2025,2025,7611,5407
2025,11,150,2025,2026,3262,2317
2025,12,150,2025,2025,9356,6647
2025,12,150,2025,2026,4010,2849
2025,1,200,2025,2025,2921,2709
2025,1,200,2025,2026,1252,1161
2025,2,200,2025,2025,3311,3071
2025,2,200,2025,2026,1419,1316
2025,3,200,2025,2025,3071,2848
2025,3,200,2025,2026,1316,1221
2025,4,200,2025,2025,2645,2453
2025,4,200,2025,2026,1133,1051
2025,5,200,2025,2025,2431,2255
2025,5,200,2025,2026,1042,966
2025,6,200,2025,2025,2791,2589
2025,6,200,2025,2026,1196,1109
2025,7,200,2025,2025,2605,2416
2025,7,200,2025,2026,1116,1035
2025,8,200,2025,2025,2537,2353
2025,8,200,2025,2026,1087,1008
2025,9,200,2025,2025,2544,2360
2025,9,200,2025,2026,1090,1011
2025,10,200,2025,2025,2537,2353
2025,10,200,2025,2026,1087,1008
2025,11,200,2025,2025,3145,2917
2025,11,200,2025,2026,1348,1250
2025,12,200,2025,2025,3140,2912
2025,12,200,2025,2026,1346,1248
2025,1,210,2025,2025,2590,2125
2025,1,210,2025,2026,1110,911
2025,2,210,2025,2025,2366,1941
2025,2,210,2025,2026,1014,832
2025,3,210,2025,2025,2715,2227
2025,3,210,2025,2026,1164,955
2025,4,210,2025,2025,2341,1920
2025,4,210,2025,2026,1003,823
2025,5,210,2025,2025,2155,1768
2025,5,210,2025,2026,924,758
2025,6,210,2025,2025,1999,1640
2025,6,210,2025,2026,857,703
2025,7,210,2025,2025,2303,1889
2025,7,210,2025,2026,987,810
2025,8,210,2025,2025,2245,1842
2025,8,210,2025,2026,962,789
2025,9,210,2025,2025,2254,1849
2025,9,210,2025,2026,966,792
2025,10,210,2025,2025,2251,1846
2025,10,210,2025,2026,965,792
2025,11,210,2025,2025,2779,2280
2025,11,210,2025,2026,1191,977
2025,12,210,2025,2025,2778,2279
2025,12,210,2025,2026,1190,976
2025,1,221,2025,2025,525,135
2025,1,221,2025,2026,225,58
2025,2,221,2025,2025,482,123
2025,2,221,2025,2026,207,53
2025,3,221,2025,2025,446,114
2025,3,221,2025,2026,191,49
2025,4,221,2025,2025,382,98
2025,4,221,2025,2026,164,42
2025,5,221,2025,2025,436,112
2025,5,221,2025,2026,187,48
2025,6,221,2025,2025,407,104
2025,6,221,2025,2026,174,45
2025,7,221,2025,2025,378,97
2025,7,221,2025,2026,162,42
2025,8,221,2025,2025,367,94
2025,8,221,2025,2026,157,40
2025,9,221,2025,2025,456,117
2025,9,221,2025,2026,195,50
2025,10,221,2025,2025,458,117
2025,10,221,2025,2026,196,50
2025,11,221,2025,2025,457,117
2025,11,221,2025,2026,196,50
2025,12,221,2025,2025,455,117
2025,12,221,2025,2026,195,50
2025,1,225,2025,2025,4279,3391
2025,1,225,2025,2026,1834,1453
2025,2,225,2025,2025,3917,3104
2025,2,225,2025,2026,1679,1330
2025,3,225,2025,2025,4468,3540
2025,3,225,2025,2026,1915,1517
2025,4,225,2025,2025,3859,3058
2025,4,225,2025,2026,1654,1311
2025,5,225,2025,2025,3559,2820
2025,5,225,2025,2026,1525,1208
2025,6,225,2025,2025,3308,2621
2025,6,225,2025,2026,1418,1124
2025,7,225,2025,2025,3064,2428
2025,7,225,2025,2026,1313,1040
2025,8,225,2025,2025,3699,2931
2025,8,225,2025,2026,1585,1256
2025,9,225,2025,2025,3721,2949
2025,9,225,2025,2026,1595,1264
2025,10,225,2025,2025,3724,2951
2025,10,225,2025,2026,1596,1265
2025,11,225,2025,2025,3707,2937
2025,11,225,2025,2026,1589,1259
2025,12,225,2025,2025,4575,3625
2025,12,225,2025,2026,1961,1554
2025,1,400,2025,2025,7480,6287
2025,1,400,2025,2026,3206,2695
2025,2,400,2025,2025,6852,5759
2025,2,400,2025,2026,2937,2469
2025,3,400,2025,2025,6311,5304
2025,3,400,2025,2026,2705,2274
2025,4,400,2025,2025,6741,5666
2025,4,400,2025,2026,2889,2428
2025,5,400,2025,2025,6221,5229
2025,5,400,2025,2026,2666,2241
2025,6,400,2025,2025,5785,4862
2025,6,400,2025,2026,2479,2084
2025,7,400,2025,2025,5363,4508
2025,7,400,2025,2026,2298,1931
2025,8,400,2025,2025,6462,5431
2025,8,400,2025,2026,2769,2327
2025,9,400,2025,2025,6503,5466
2025,9,400,2025,2026,2787,2342
2025,10,400,2025,2025,6512,5473
2025,10,400,2025,2026,2791,2346
2025,11,400,2025,2025,6487,5452
2025,11,400,2025,2026,2780,2337
2025,12,400,2025,2025,7989,6715
2025,12,400,2025,2026,3424,2878
2025,1,410,2025,2025,2732,813
2025,1,410,2025,2026,1171,349
2025,2,410,2025,2025,2506,746
2025,2,410,2025,2026,1074,320
2025,3,410,2025,2025,2311,688
2025,3,410,2025,2026,990,295
2025,4,410,2025,2025,2458,732
2025,4,410,2025,2026,1054,314
2025,5,410,2025,2025,2271,676
2025,5,410,2025,2026,973,290
2025,6,410,2025,2025,2115,630
2025,6,410,2025,2026,906,270
2025,7,410,2025,2025,1963,584
2025,7,410,2025,2026,841,250
2025,8,410,2025,2025,2356,701
2025,8,410,2025,2026,1010,301
2025,9,410,2025,2025,2373,706
2025,9,410,2025,2026,1017,303
2025,10,410,2025,2025,2379,708
2025,10,410,2025,2026,1020,304
2025,11,410,2025,2025,2373,706
2025,11,410,2025,2026,1017,303
2025,12,410,2025,2025,2356,701
2025,12,410,2025,2026,1010,301
2025,1,420,2025,2025,11979,11692
2025,1,420,2025,2026,5134,5011
2025,2,420,2025,2025,11001,10737
2025,2,420,2025,2026,4715,4602
2025,3,420,2025,2025,10161,9917
2025,3,420,2025,2026,4355,4250
2025,4,420,2025,2025,8709,8500
2025,4,420,2025,2026,3733,3643
2025,5,420,2025,2025,9957,9718
2025,5,420,2025,2026,4267,4165
2025,6,420,2025,2025,9282,9059
2025,6,420,2025,2026,3978,3883
2025,7,420,2025,2025,8628,8421
2025,7,420,2025,2026,3698,3609
2025,8,420,2025,2025,8365,8164
2025,8,420,2025,2026,3585,3499
2025,9,420,2025,2025,10403,10153
2025,9,420,2025,2026,4458,4351
2025,10,420,2025,2025,10441,10190
2025,10,420,2025,2026,4475,4368
2025,11,420,2025,2025,10428,10178
2025,11,420,2025,2026,4469,4362
2025,12,420,2025,2025,10364,10115
2025,12,420,2025,2026,4442,4335
2025,1,421,2025,2025,2267,1141
2025,1,421,2025,2026,972,489
2025,2,421,2025,2025,2570,1294
2025,2,421,2025,2026,1101,554
2025,3,421,2025,2025,2384,1200
2025,3,421,2025,2026,1022,515
2025,4,421,2025,2025,2053,1034
2025,4,421,2025,2026,880,443
2025,5,421,2025,2025,1887,950
2025,5,421,2025,2026,809,407
2025,6,421,2025,2025,2166,1091
2025,6,421,2025,2026,928,467
2025,7,421,2025,2025,2022,1018
2025,7,421,2025,2026,867,437
2025,8,421,2025,2025,1969,991
2025,8,421,2025,2026,844,425
2025,9,421,2025,2025,1975,994
2025,9,421,2025,2026,846,426
2025,10,421,2025,2025,1969,991
