year,month,branchNumber,underwritingYear,lossYear,claimsPaidGross,claimsPaidRi,,,
2026,1,100,2026,2026,439800,62700,,43980000,6270000
2026,1,100,2025,2025,93800,13100,,9380000,1310000
2026,1,100,2025,2026,53100,7000,,5310000,700000
2026,1,100,2024,2024,33100,4500,,3310000,450000
2026,2,100,2026,2026,355300,50300,,35530000,5030000
2026,2,100,2025,2025,122200,17600,,12220000,1760000
2026,2,100,2025,2026,45700,6000,,4570000,600000
2026,2,100,2024,2024,32800,4600,,3280000,460000
2026,3,100,2026,2026,393900,55100,,39390000,5510000
2026,3,100,2025,2025,108700,14400,,10870000,1440000
2026,3,100,2025,2026,59400,8100,,5940000,810000
2026,3,100,2024,2024,26400,3500,,2640000,350000
2026,4,100,2026,2026,372100,52900,,37210000,5290000
2026,4,100,2025,2025,112900,15500,,11290000,1550000
2026,4,100,2025,2026,53000,7400,,5300000,740000
2026,4,100,2024,2024,26500,3700,,2650000,370000
2026,5,100,2026,2026,406400,58600,,40640000,5860000
2026,5,100,2025,2025,113400,15400,,11340000,1540000
2026,5,100,2025,2026,43000,5800,,4300000,580000
2026,5,100,2024,2024,26100,3500,,2610000,350000
2026,6,100,2026,2026,438800,59200,,43880000,5920000
2026,6,100,2025,2025,127500,17400,,12750000,1740000
2026,6,100,2025,2026,51900,7100,,5190000,710000
2026,6,100,2024,2024,24900,3400,,2490000,340000
2026,7,100,2026,2026,455100,64700,,45510000,6470000
2026,7,100,2025,2025,88100,12600,,8810000,1260000
2026,7,100,2025,2026,47100,6600,,4710000,660000
2026,8,100,2026,2026,387300,53000,,38730000,5300000
2026,8,100,2025,2025,122600,16800,,12260000,1680000
2026,8,100,2025,2026,50700,7300,,5070000,730000
2026,9,100,2026,2026,352800,47900,,35280000,4790000
2026,9,100,2025,2025,137000,19400,,13700000,1940000
2026,9,100,2025,2026,42300,5800,,4230000,580000
2026,10,100,2026,2026,440600,63000,,44060000,6300000
2026,10,100,2025,2026,57100,7700,,5710000,770000
2026,11,100,2026,2026,445000,63300,,44500000,6330000
2026,11,100,2025,2026,61100,8100,,6110000,810000
2026,12,100,2026,2026,443000,62400,,44300000,6240000
2026,12,100,2025,2026,45100,6100,,4510000,610000
2026,1,150,2026,2026,1219800,103400,,121980000,10340000
2026,1,150,2025,2025,500200,40800,,50020000,4080000
2026,1,150,2025,2026,210600,17000,,21060000,1700000
2026,1,150,2024,2024,84100,6700,,8410000,670000
2026,2,150,2026,2026,1225300,96000,,122530000,9600000
2026,2,150,2025,2025,386700,31900,,38670000,3190000
2026,2,150,2025,2026,202600,16500,,20260000,1650000
2026,2,150,2024,2024,95700,7600,,9570000,760000
2026,3,150,2026,2026,1713700,138100,,171370000,13810000
2026,3,150,2025,2025,430400,36300,,43040000,3630000
2026,3,150,2025,2026,215000,17000,,21500000,1700000
2026,3,150,2024,2024,105400,8400,,10540000,840000
2026,4,150,2026,2026,1250500,104000,,125050000,10400000
2026,4,150,2025,2025,524200,43500,,52420000,4350000
2026,4,150,2025,2026,219400,17900,,21940000,1790000
2026,4,150,2024,2024,129700,10200,,12970000,1020000
2026,5,150,2026,2026,1775400,139700,,177540000,13970000
2026,5,150,2025,2025,338700,27400,,33870000,2740000
2026,5,150,2025,2026,237000,19100,,23700000,1910000
2026,5,150,2024,2024,99900,8000,,9990000,800000
2026,6,150,2026,2026,1636200,126800,,163620000,12680000
2026,6,150,2025,2025,437700,34900,,43770000,3490000
2026,6,150,2025,2026,224500,19100,,22450000,1910000
2026,6,150,2024,2024,100000,8000,,10000000,800000
2026,7,150,2026,2026,1153300,90400,,115330000,9040000
2026,7,150,2025,2025,358900,28100,,35890000,2810000
2026,7,150,2025,2026,170200,13100,,17020000,1310000
2026,8,150,2026,2026,1080600,84700,,108060000,8470000
2026,8,150,2025,2025,496100,40200,,49610000,4020000
2026,8,150,2025,2026,245700,19500,,24570000,1950000
2026,9,150,2026,2026,1426900,115600,,142690000,11560000
2026,9,150,2025,2025,356200,27800,,35620000,2780000
2026,9,150,2025,2026,208200,17200,,20820000,1720000
2026,10,150,2026,2026,1784000,138900,,178400000,13890000
2026,10,150,2025,2026,268400,22800,,26840000,2280000
2026,11,150,2026,2026,1629100,133400,,162910000,13340000
2026,11,150,2025,2026,238600,20100,,23860000,2010000
2026,12,150,2026,2026,1417700,118000,,141770000,11800000
2026,12,150,2025,2026,170300,14400,,17030000,1440000
2026,1,200,2026,2026,1358300,169800,,135830000,16980000
2026,1,200,2025,2025,411600,52900,,41160000,5290000
2026,1,200,2025,2026,246800,32900,,24680000,3290000
2026,1,200,2024,2024,119300,16300,,11930000,1630000
2026,2,200,2026,2026,1304100,169700,,130410000,16970000
2026,2,200,2025,2025,301700,38800,,30170000,3880000
2026,2,200,2025,2026,232300,29900,,23230000,2990000
2026,2,200,2024,2024,80400,10100,,8040000,1010000
2026,3,200,2026,2026,1470600,183600,,147060000,18360000
2026,3,200,2025,2025,436900,55300,,43690000,5530000
2026,3,200,2025,2026,215700,28400,,21570000,2840000
2026,3,200,2024,2024,107400,14000,,10740000,1400000
2026,4,200,2026,2026,1330700,166500,,133070000,16650000
2026,4,200,2025,2025,340200,45700,,34020000,4570000
2026,4,200,2025,2026,206700,26100,,20670000,2610000
2026,4,200,2024,2024,100400,13600,,10040000,1360000
2026,5,200,2026,2026,1117300,147700,,111730000,14770000
2026,5,200,2025,2025,380100,50300,,38010000,5030000
2026,5,200,2025,2026,164700,21400,,16470000,2140000
2026,5,200,2024,2024,79300,10600,,7930000,1060000
2026,6,200,2026,2026,975100,123800,,97510000,12380000
2026,6,200,2025,2025,453000,61400,,45300000,6140000
2026,6,200,2025,2026,150500,19200,,15050000,1920000
2026,6,200,2024,2024,76900,10000,,7690000,1000000
2026,7,200,2026,2026,1224800,161400,,122480000,16140000
2026,7,200,2025,2025,473600,59000,,47360000,5900000
2026,7,200,2025,2026,156800,20000,,15680000,2000000
2026,8,200,2026,2026,1087600,148200,,108760000,14820000
2026,8,200,2025,2025,475300,65100,,47530000,6510000
2026,8,200,2025,2026,194100,25200,,19410000,2520000
2026,9,200,2026,2026,1370300,184100,,137030000,18410000
2026,9,200,2025,2025,489800,66000,,48980000,6600000
2026,9,200,2025,2026,174800,23600,,17480000,2360000
2026,10,200,2026,2026,1262500,162600,,126250000,16260000
2026,10,200,2025,2026,163100,20400,,16310000,2040000
2026,11,200,2026,2026,1574800,200800,,157480000,20080000
2026,11,200,2025,2026,221000,27900,,22100000,2790000
2026,12,200,2026,2026,1236200,156800,,123620000,15680000
2026,12,200,2025,2026,180000,22900,,18000000,2290000
2026,1,210,2026,2026,1438900,162500,,143890000,16250000
