year,month,branchNumber,startDate,endDate,grossPremium,agentComm,reinsurancePremium,reinsuranceComm
2024,1,100,01/01/2024,29/02/2024,14619,1350,6147,35
2024,2,100,01/02/2024,31/03/2024,13605,1257,5721,33
2024,3,100,01/03/2024,30/04/2024,12987,1200,5461,31
2024,4,100,01/04/2024,31/05/2024,14193,1311,5968,34
2024,5,100,01/05/2024,30/06/2024,13299,1228,5592,32
2024,6,100,01/06/2024,31/07/2024,12566,1161,5284,30
2024,7,100,01/07/2024,31/08/2024,11595,1071,4876,28
2024,8,100,01/08/2024,30/09/2024,11286,1042,4746,27
2024,9,100,01/09/2024,31/10/2024,11343,1048,4770,27
2024,10,100,01/10/2024,30/11/2024,11497,1062,4834,28
2024,11,100,01/11/2024,31/12/2024,13742,1269,5779,33
2024,12,100,01/12/2024,31/01/2025,13667,1262,5747,33
2024,1,150,01/01/2024,29/02/2024,13085,317,9296,571
2024,2,150,01/02/2024,31/03/2024,12191,295,8660,532
2024,3,150,01/03/2024,30/04/2024,11650,282,8276,508
2024,4,150,01/04/2024,31/05/2024,10701,259,7602,467
2024,5,150,01/05/2024,30/06/2024,9992,242,7098,436
2024,6,150,01/06/2024,31/07/2024,11230,272,7978,490
2024,7,150,01/07/2024,31/08/2024,10373,251,7369,452
2024,8,150,01/08/2024,30/09/2024,10107,245,7180,441
2024,9,150,01/09/2024,31/10/2024,10169,246,7224,444
2024,10,150,01/10/2024,30/11/2024,10320,250,7331,450
2024,11,150,01/11/2024,31/12/2024,10344,251,7348,451
2024,12,150,01/12/2024,31/01/2025,12208,296,8673,533
2024,1,200,01/01/2024,29/02/2024,21221,1214,19682,309
2024,2,200,01/02/2024,31/03/2024,19790,1133,18355,288
2024,3,200,01/03/2024,30/04/2024,18932,1083,17559,275
2024,4,200,01/04/2024,31/05/2024,17410,996,16148,253
2024,5,200,01/05/2024,30/06/2024,16275,931,15095,237
2024,6,200,01/06/2024,31/07/2024,15339,878,14227,223
2024,7,200,01/07/2024,31/08/2024,16815,962,15596,245
2024,8,200,01/08/2024,30/09/2024,16400,939,15211,239
2024,9,200,01/09/2024,31/10/2024,16517,945,15320,240
2024,10,200,01/10/2024,30/11/2024,16780,960,15563,244
2024,11,200,01/11/2024,31/12/2024,16838,964,15617,245
2024,12,200,01/12/2024,31/01/2025,16704,956,15493,243
2024,1,210,01/01/2024,29/02/2024,27180,2161,22296,1030
2024,2,210,01/02/2024,31/03/2024,25332,2014,20780,960
2024,3,210,01/03/2024,30/04/2024,24217,1925,19865,918
2024,4,210,01/04/2024,31/05/2024,22253,1769,18254,843
2024,5,210,01/05/2024,30/06/2024,20787,1653,17052,788
2024,6,210,01/06/2024,31/07/2024,23317,1854,19127,884
2024,7,210,01/07/2024,31/08/2024,21544,1713,17673,816
2024,8,210,01/08/2024,30/09/2024,20999,1670,17225,796
2024,9,210,01/09/2024,31/10/2024,21135,1680,17337,801
2024,10,210,01/10/2024,30/11/2024,21456,1706,17600,813
2024,11,210,01/11/2024,31/12/2024,21514,1711,17648,815
2024,12,210,01/12/2024,31/01/2025,21326,1696,17494,808
2024,1,221,01/01/2024,29/02/2024,2529,71,648,31
2024,2,221,01/02/2024,31/03/2024,2359,67,604,28
2024,3,221,01/03/2024,30/04/2024,2257,64,578,27
2024,4,221,01/04/2024,31/05/2024,2077,59,532,25
2024,5,221,01/05/2024,30/06/2024,1942,55,498,23
2024,6,221,01/06/2024,31/07/2024,1831,52,469,22
2024,7,221,01/07/2024,31/08/2024,1686,48,432,20
2024,8,221,01/08/2024,30/09/2024,1954,55,501,24
2024,9,221,01/09/2024,31/10/2024,1969,56,504,24
2024,10,221,01/10/2024,30/11/2024,2001,57,513,24
2024,11,221,01/11/2024,31/12/2024,2009,57,515,24
2024,12,221,01/12/2024,31/01/2025,1994,56,511,24
2024,1,225,01/01/2024,29/02/2024,25648,95,20323,700
2024,2,225,01/02/2024,31/03/2024,23879,89,18922,651
2024,3,225,01/03/2024,30/04/2024,22802,85,18068,622
2024,4,225,01/04/2024,31/05/2024,20929,78,16584,571
2024,5,225,01/05/2024,30/06/2024,23314,87,18474,636
2024,6,225,01/06/2024,31/07/2024,22035,82,17461,601
2024,7,225,01/07/2024,31/08/2024,20340,76,16117,555
2024,8,225,01/08/2024,30/09/2024,19805,74,15693,540
2024,9,225,01/09/2024,31/10/2024,19912,74,15778,543
2024,10,225,01/10/2024,30/11/2024,20191,75,15999,551
2024,11,225,01/11/2024,31/12/2024,24087,90,19087,657
2024,12,225,01/12/2024,31/01/2025,23962,89,18987,654
2024,1,400,01/01/2024,29/02/2024,42758,3198,35938,3339
2024,2,400,01/02/2024,31/03/2024,39863,2982,33505,3113
2024,3,400,01/03/2024,30/04/2024,38122,2852,32042,2977
2024,4,400,01/04/2024,31/05/2024,35044,2621,29454,2736
2024,5,400,01/05/2024,30/06/2024,32747,2449,27524,2557
2024,6,400,01/06/2024,31/07/2024,30850,2308,25929,2409
2024,7,400,01/07/2024,31/08/2024,33886,2535,28481,2646
2024,8,400,01/08/2024,30/09/2024,33039,2471,27769,2580
2024,9,400,01/09/2024,31/10/2024,33265,2488,27959,2597
2024,10,400,01/10/2024,30/11/2024,33782,2527,28394,2638
2024,11,400,01/11/2024,31/12/2024,33886,2535,28481,2646
2024,12,400,01/12/2024,31/01/2025,33604,2514,28244,2624
2024,1,410,01/01/2024,29/02/2024,30312,2914,9024,294
2024,2,410,01/02/2024,31/03/2024,28241,2715,8407,274
2024,3,410,01/03/2024,30/04/2024,26988,2594,8034,262
2024,4,410,01/04/2024,31/05/2024,24790,2383,7380,240
2024,5,410,01/05/2024,30/06/2024,23147,2225,6891,225
2024,6,410,01/06/2024,31/07/2024,26016,2501,7745,252
2024,7,410,01/07/2024,31/08/2024,24031,2310,7154,233
2024,8,410,01/08/2024,30/09/2024,23414,2251,6970,227
2024,9,410,01/09/2024,31/10/2024,23558,2265,7013,228
2024,10,410,01/10/2024,30/11/2024,23907,2298,7117,232
2024,11,410,01/11/2024,31/12/2024,23962,2303,7133,232
2024,12,410,01/12/2024,31/01/2025,28282,2719,8420,274
2024,1,420,01/01/2024,29/02/2024,18176,1292,17740,1465
2024,2,420,01/02/2024,31/03/2024,16922,1203,16516,1364
2024,3,420,01/03/2024,30/04/2024,16159,1149,15771,1303
2024,4,420,01/04/2024,31/05/2024,14831,1054,14475,1196
2024,5,420,01/05/2024,30/06/2024,16522,1174,16125,1332
2024,6,420,01/06/2024,31/07/2024,15615,1110,15240,1259
2024,7,420,01/07/2024,31/08/2024,14414,1025,14068,1162
2024,8,420,01/08/2024,30/09/2024,14035,998,13698,1131
2024,9,420,01/09/2024,31/10/2024,14111,1003,13772,1138
2024,10,420,01/10/2024,30/11/2024,14309,1017,13966,1154
2024,11,420,01/11/2024,31/12/2024,17069,1213,16659,1376
2024,12,420,01/12/2024,31/01/2025,16981,1207,16573,1369
2024,1,421,01/01/2024,29/02/2024,31000,125,15609,315
2024,2,421,01/02/2024,31/03/2024,28911,117,14557,293
2024,3,421,01/03/2024,30/04/2024,27658,112,13926,281
2024,4,421,01/04/2024,31/05/2024,25434,103,12806,258
2024,5,421,01/05/2024,30/06/2024,23776,96,11971,241
2024,6,421,01/06/2024,31/07/2024,22408,91,11282,227
2024,7,421,01/07/2024,31/08/2024,24564,99,12368,249
2024,8,421,01/08/2024,30/09/2024,23958,97,12063,243
2024,9,421,01/09/2024,31/10/2024,24130,97,12149,245
2024,10,421,01/10/2024,30/11/2024,24514,99,12343,249
2024,11,421,01/11/2024,31/12/2024,24598,99,12385,250
2024,12,421,01/12/2024,31/01/2025,24403,99,12287,248
2024,1,425,01/01/2024,29/02/2024,20486,54,15637,1021
2024,2,425,01/02/2024,31/03/2024,19065,50,14552,950
2024,3,425,01/03/2024,30/04/2024,18199,48,13891,907
2024,4,425,01/04/2024,31/05/2024,19889,52,15181,991
2024,5,425,01/05/2024,30/06/2024,18637,49,14226,929
2024,6,425,01/06/2024,31/07/2024,17609,46,13441,878
2024,7,425,01/07/2024,31/08/2024,16249,43,12403,810
2024,8,425,01/08/2024,30/09/2024,15816,41,12072,788
2024,9,425,01/09/2024,31/10/2024,15895,42,12133,792
2024,10,425,01/10/2024,30/11/2024,16112,42,12298,803
2024,11,425,01/11/2024,31/12/2024,19258,50,14700,960
2024,12,425,01/12/2024,31/01/2025,19152,50,14619,954
2024,1,430,01/01/2024,29/02/2024,42011,2235,4436,195
2024,2,430,01/02/2024,31/03/2024,39084,2079,4127,181
2024,3,430,01/03/2024,30/04/2024,37292,1984,3938,173
2024,4,430,01/04/2024,31/05/2024,40835,2172,4312,189
2024,5,430,01/05/2024,30/06/2024,38253,2035,4040,177
2024,6,430,01/06/2024,31/07/2024,36131,1922,3815,167
2024,7,430,01/07/2024,31/08/2024,33329,1773,3520,154
2024,8,430,01/08/2024,30/09/2024,32428,1725,3424,150
2024,9,430,01/09/2024,31/10/2024,32578,1733,3440,151
2024,10,430,01/10/2024,30/11/2024,39319,2091,4152,182
2024,11,430,01/11/2024,31/12/2024,39534,2103,4175,183
2024,12,430,01/12/2024,31/01/2025,39304,2091,4151,182
