year,branch,branchName,grossCommission,reInsurPremium,reisurCommision,lossRatio,ourShear
2024,221, חובה  ,5,13.5,17.22,90,0.794
2024,200, קסקו מקיף  ,14,80,20.09,70,1
2024,210, קסקו צד ג  ,14,80,20.09,70,1
2024,421, חובה משאיות  ,5,95,15,90,0.794
2024,425, חובה נגררים  ,5,95,15,90,0.794
2024,225, חובה אוטובוסים ,5,95,15,90,0.794
2024,400, קסקו משאיות   ,11,95,22,70,1
2024,410, קסקו נגררים  ,11,95,22,70,1
2024,420, צמה ,11,95,22,70,1
2024,100, דירות  ,21,85,24.34,60,1
2024,150, בתי עסק ,18,85,24.34,70,1
2025,221, חובה  ,5,13.5,17.22,90,0.794
2025,200, קסקו מקיף  ,14,80,20.09,70,1
2025,210, קסקו צד ג  ,14,80,20.09,70,1
2025,421, חובה משאיות  ,5,95,15,90,0.794
2025,425, חובה נגררים  ,5,95,15,90,0.794
2025,225, חובה אוטובוסים ,5,95,15,90,0.794
2025,400, קסקו משאיות   ,11,95,22,70,1
2025,410, קסקו נגררים  ,11,95,22,70,1
2025,420, צמה ,11,95,22,70,1
2025,100, דירות  ,21,85,24.34,60,1
2025,150, בתי עסק ,18,85,24.34,70,1
