policyNumber,branchNumber,startDate,endDate,premiumAmount
20251221,221,01/01/2025,31/12/2025,5320000
20252221,221,01/02/2025,31/01/2026,5130000
20253221,221,01/03/2025,28/02/2026,5354770
20251200,200,01/01/2025,31/12/2025,6977208
20252200,200,01/02/2025,31/01/2026,6708744
20253200,200,01/03/2025,28/02/2026,7007665
20251210,210,01/01/2025,31/12/2025,1509057
20252210,210,01/02/2025,31/01/2026,1426059
20253210,210,01/03/2025,28/02/2026,1397538
20251421,421,01/01/2025,31/12/2025,6160000
20252421,421,01/02/2025,31/01/2026,2240000
20253421,421,01/03/2025,28/02/2026,2240000
20251421,421,01/01/2025,31/12/2025,529000
20252425,425,01/02/2025,31/01/2026,192364
20253425,425,01/03/2025,28/02/2026,192364
20251225,225,01/01/2025,31/12/2025,6020000
20252225,225,01/02/2025,31/01/2026,2189091
20253225,225,01/03/2025,28/02/2026,2189091
20251400,400,01/01/2025,31/12/2025,2125000
20252400,400,01/02/2025,31/01/2026,772727
20253400,400,01/03/2025,28/02/2026,772727
20251410,410,01/01/2025,31/12/2025,84000
20252410,410,01/02/2025,31/01/2026,30545
20253410,410,01/03/2025,28/02/2026,30545
20251420,420,01/01/2025,31/12/2025,1440000
20252420,420,01/02/2025,31/01/2026,523636
20253420,420,01/03/2025,28/02/2026,523636
20251100,100,01/01/2025,31/12/2025,297275
20252100,100,01/02/2025,31/01/2026,327003
20253100,100,01/03/2025,28/02/2026,423240
20253221,221,01/03/2025,01/03/2026,46319
20254221,221,01/04/2025,01/04/2026,448737
20255221,221,01/05/2025,01/05/2026,565905
20256221,221,01/06/2025,01/06/2026,1426814
20257221,221,01/07/2025,01/07/2026,2492297
20258221,221,01/08/2025,01/08/2026,3093156
20259221,221,01/09/2025,01/09/2026,5066358
202510221,221,01/10/2025,01/10/2026,5169409
202511221,221,01/11/2025,01/11/2026,5963173
202512221,221,01/12/2025,01/12/2026,5782596
20261221,221,01/01/2026,01/01/2027,5320000
20262221,221,01/02/2026,01/02/2027,5130000
20263221,221,01/03/2026,01/03/2027,5354770
20264221,221,01/04/2026,01/04/2027,5425260
20265221,221,01/05/2026,01/05/2027,6064990
20266221,221,01/06/2026,01/06/2027,6397490
20267221,221,01/07/2026,01/07/2027,7435460
20268221,221,01/08/2026,01/08/2027,8222440
20269221,221,01/09/2026,01/09/2027,9609060
202610221,221,01/10/2026,01/10/2027,9130260
202611221,221,01/11/2026,01/11/2027,9620840
202612221,221,01/12/2026,01/12/2027,12290720
20253200,200,01/03/2025,01/03/2026,107008
20254200,200,01/04/2025,01/04/2026,969672
20255200,200,01/05/2025,01/05/2026,1327534
20256200,200,01/06/2025,01/06/2026,2941562
20257200,200,01/07/2025,01/07/2026,4528401
20258200,200,01/08/2025,01/08/2026,5457353
20259200,200,01/09/2025,01/09/2026,8362511
202510200,200,01/10/2025,01/10/2026,8223845
202511200,200,01/11/2025,01/11/2026,10111913
202512200,200,01/12/2025,01/12/2026,9082928
20261200,200,01/01/2026,01/01/2027,6977208
20262200,200,01/02/2026,01/02/2027,6708744
20263200,200,01/03/2026,01/03/2027,7007665
20264200,200,01/04/2026,01/04/2027,7004424
20265200,200,01/05/2026,01/05/2027,7998480
20266200,200,01/06/2026,01/06/2027,7862120
20267200,200,01/07/2026,01/07/2027,9443133
20268200,200,01/08/2026,01/08/2027,10496828
20269200,200,01/09/2026,01/09/2027,12925605
202610200,200,01/10/2026,01/10/2027,11759580
202611200,200,01/11/2026,01/11/2027,11993142
202612200,200,01/12/2026,01/12/2027,14768572
20261210,210,01/01/2026,01/01/2027,1509057
20262210,210,01/02/2026,01/02/2027,1426059
20263210,210,01/03/2026,01/03/2027,1397538
20264210,210,01/04/2026,01/04/2027,1369587
20265210,210,01/05/2026,01/05/2027,1342195
20266210,210,01/06/2026,01/06/2027,1507034
20267210,210,01/07/2026,01/07/2027,1343965
20268210,210,01/08/2026,01/08/2027,1410248
20269210,210,01/09/2026,01/09/2027,2243461
202610210,210,01/10/2026,01/10/2027,2032615
202611210,210,01/11/2026,01/11/2027,2681790
202612210,210,01/12/2026,01/12/2027,4882312
20257421,421,01/07/2025,01/07/2026,701076
20258421,421,01/08/2025,01/08/2026,32032
20259421,421,01/09/2025,01/09/2026,3694253
202510421,421,01/10/2025,01/10/2026,4106179
202511421,421,01/11/2025,01/11/2026,5774106
202512421,421,01/12/2025,01/12/2026,7253101
20261421,421,01/01/2026,01/01/2027,6160000
20262421,421,01/02/2026,01/02/2027,2240000
20263421,421,01/03/2026,01/03/2027,2240000
20264421,421,01/04/2026,01/04/2027,2240000
20265421,421,01/05/2026,01/05/2027,2240000
20266421,421,01/06/2026,01/06/2027,3143000
20267421,421,01/07/2026,01/07/2027,2324000
20268421,421,01/08/2026,01/08/2027,2633750
20269421,421,01/09/2026,01/09/2027,6476750
202610421,421,01/10/2026,01/10/2027,5552750
202611421,421,01/11/2026,01/11/2027,8639750
202612421,421,01/12/2026,01/12/2027,18063500
20261421,421,01/01/2026,01/01/2027,529000
20262425,425,01/02/2026,01/02/2027,192364
20263425,425,01/03/2026,01/03/2027,192364
20264425,425,01/04/2026,01/04/2027,192364
20265425,425,01/05/2026,01/05/2027,192364
20266425,425,01/06/2026,01/06/2027,300176
20267425,425,01/07/2026,01/07/2027,199264
20268425,425,01/08/2026,01/08/2027,207026
20269425,425,01/09/2026,01/09/2027,235489
202610425,425,01/10/2026,01/10/2027,262226
202611425,425,01/11/2026,01/11/2027,258776
202612425,425,01/12/2026,01/12/2027,2188189
20261225,225,01/01/2026,01/01/2027,6020000
20262225,225,01/02/2026,01/02/2027,2189091
20263225,225,01/03/2026,01/03/2027,2189091
20264225,225,01/04/2026,01/04/2027,2189091
20265225,225,01/05/2026,01/05/2027,2189091
20266225,225,01/06/2026,01/06/2027,2189091
20267225,225,01/07/2026,01/07/2027,2194341
20268225,225,01/08/2026,01/08/2027,2189091
20269225,225,01/09/2026,01/09/2027,2462091
202610225,225,01/10/2026,01/10/2027,2698341
202611225,225,01/11/2026,01/11/2027,3071091
202612225,225,01/12/2026,01/12/2027,6977091
20259400,400,01/09/2025,01/09/2026,1059719
202510400,400,01/10/2025,01/10/2026,573970
202511400,400,01/11/2025,01/11/2026,966272
202512400,400,01/12/2025,01/12/2026,1485605
20261400,400,01/01/2026,01/01/2027,2125000
20262400,400,01/02/2026,01/02/2027,772727
20263400,400,01/03/2026,01/03/2027,772727
20264400,400,01/04/2026,01/04/2027,772727
20265400,400,01/05/2026,01/05/2027,772727
20266400,400,01/06/2026,01/06/2027,772727
20267400,400,01/07/2026,01/07/2027,772727
20268400,400,01/08/2026,01/08/2027,938477
20269400,400,01/09/2026,01/09/2027,1403852
202610400,400,01/10/2026,01/10/2027,1276352
202611400,400,01/11/2026,01/11/2027,1690727
202612400,400,01/12/2026,01/12/2027,3061352
20261410,410,01/01/2026,01/01/2027,84000
20262410,410,01/02/2026,01/02/2027,30545
20263410,410,01/03/2026,01/03/2027,30545
20264410,410,01/04/2026,01/04/2027,30545
20265410,410,01/05/2026,01/05/2027,30545
20266410,410,01/06/2026,01/06/2027,30545
20267410,410,01/07/2026,01/07/2027,30545
20268410,410,01/08/2026,01/08/2027,33695
20269410,410,01/09/2026,01/09/2027,66770
202610410,410,01/10/2026,01/10/2027,57320
202611410,410,01/11/2026,01/11/2027,63620
202612410,410,01/12/2026,01/12/2027,347120
20261420,420,01/01/2026,01/01/2027,1440000
20262420,420,01/02/2026,01/02/2027,523636
20263420,420,01/03/2026,01/03/2027,523636
20264420,420,01/04/2026,01/04/2027,523636
20265420,420,01/05/2026,01/05/2027,523636
20266420,420,01/06/2026,01/06/2027,523636
20267420,420,01/07/2026,01/07/2027,523636
20268420,420,01/08/2026,01/08/2027,523636
20269420,420,01/09/2026,01/09/2027,523636
202610420,420,01/10/2026,01/10/2027,523636
202611420,420,01/11/2026,01/11/2027,523636
202612420,420,01/12/2026,01/12/2027,523636
20254100,100,01/04/2025,01/04/2026,146943
20255100,100,01/05/2025,01/05/2026,154162
20256100,100,01/06/2025,01/06/2026,149532
20257100,100,01/07/2025,01/07/2026,299876
20258100,100,01/08/2025,01/08/2026,415709
20259100,100,01/09/2025,01/09/2026,386658
202510100,100,01/10/2025,01/10/2026,311479
202511100,100,01/11/2025,01/11/2026,396404
202512100,100,01/12/2025,01/12/2026,301835
20261100,100,01/01/2026,01/01/2027,297275
20262100,100,01/02/2026,01/02/2027,327003
20263100,100,01/03/2026,01/03/2027,423240
20264100,100,01/04/2026,01/04/2027,500694
20265100,100,01/05/2026,01/05/2027,581983
20266100,100,01/06/2026,01/06/2027,792843
20267100,100,01/07/2026,01/07/2027,1089553
20268100,100,01/08/2026,01/08/2027,1182200
20269100,100,01/09/2026,01/09/2027,1297683
202610100,100,01/10/2026,01/10/2027,1245175
202611100,100,01/11/2026,01/11/2027,1181178
202612100,100,01/12/2026,01/12/2027,1250305
20264150,150,01/04/2026,01/04/2027,50000
20265150,150,01/05/2026,01/05/2027,91000
20266150,150,01/06/2026,01/06/2027,165620
20267150,150,01/07/2026,01/07/2027,185494
20268150,150,01/08/2026,01/08/2027,185494
20269150,150,01/09/2026,01/09/2027,204044
202610150,150,01/10/2026,01/10/2027,251411
202611150,150,01/11/2026,01/11/2027,377117
202612150,150,01/12/2026,01/12/2027,565675
