year,branchNumber,expectedGrossPremium,agentCommPct,reinsurancePct,reinsuranceCommPct,expectedLrPct
2025,100,346550,21,85,24.34,60
2026,100,280394,21,85,24.34,60
2025,150,298950,18,85,24.34,70
2026,150,138444,18,85,24.34,70
2025,200,442658,14,80,20.09,70
2026,200,725859,14,80,20.09,70
2025,210,190002,14,80,20.09,70
2026,210,493693,14,80,20.09,70
2025,221,385187,5,13.5,17.22,90
2026,221,101880,5,13.5,17.22,90
2025,225,263997,5,95,15,90
2026,225,836297,5,95,15,90
2025,400,713110,11,95,22,70
2026,400,683999,11,95,22,70
2025,410,554838,11,95,22,70
2026,410,863395,11,95,22,70
2025,420,3677,11,95,22,70
2026,420,38043,11,95,22,70
2025,421,345208,5,95,15,90
2026,421,460136,5,95,15,90
2025,425,711207,5,95,15,90
2026,425,702837,5,95,15,90
